# Bands derived from original Hamiltonian ( wannier90.dn_hr.dat ) 
#   k-path len        Energy
    0.000000000    -4.668490551212018
    0.033927073    -4.667375563969479
    0.067854146    -4.663122736525170
    0.101781218    -4.654657334592642
    0.135708291    -4.640530795609136
    0.169635364    -4.619379651570036
    0.203562437    -4.590457103571150
    0.237489509    -4.554063695690128
    0.271416582    -4.511731660656650
    0.305343655    -4.466118817918471
    0.339270728    -4.420627912325356
    0.373197800    -4.378736183182087
    0.407124873    -4.343051435510674
    0.441051946    -4.314433871466340
    0.474979019    -4.291867141002066
    0.508906091    -4.273381998160823
    0.542833164    -4.257470407146521
    0.576760237    -4.244117943848141
    0.610687310    -4.234842374831413
    0.644614382    -4.231593095302295

    0.644614382    -4.231593095302295
    0.678541455    -4.251030349939486
    0.712468528    -4.295113161748468
    0.746395601    -4.345140908822100
    0.780322673    -4.378184184214788
    0.814249746    -4.378189137454588
    0.848176819    -4.346549785090374
    0.882103892    -4.304025880308215
    0.916030964    -4.298347375193195
    0.949958037    -4.316222055869328
    0.983885110    -4.368887923083201
    1.017812183    -4.453177722529954
    1.051739255    -4.512246671590493
    1.085666328    -4.514194538460558
    1.119593401    -4.487479079736715
    1.153520474    -4.482016569732961
    1.187447546    -4.501312806126932
    1.221374619    -4.528563028555662
    1.255301692    -4.550761937161779
    1.289228765    -4.559635692633245

    1.289228765    -4.559635692633245
    1.337208891    -4.536745412473031
    1.385189017    -4.490267768118053
    1.433169144    -4.453889851958309
    1.481149270    -4.459201820176257
    1.529129397    -4.578933510246430
    1.577109523    -4.719215227954412
    1.625089650    -4.725666333170691
    1.673069776    -4.606646583576619
    1.721049902    -4.452210155511720
    1.769030029    -4.385170310067686
    1.817010155    -4.419512262985128
    1.864990282    -4.496133771284843
    1.912970408    -4.592134884733846
    1.960950534    -4.681046987892596
    2.008930661    -4.734896886370175
    2.056910787    -4.741718740574184
    2.104890914    -4.714753129094428
    2.152871040    -4.682264844323156
    2.200851167    -4.668490551212018

    2.200851167    -4.668490551212018
    2.250956313    -4.663452615125040
    2.301061459    -4.648680398593111
    2.351166605    -4.625041856885162
    2.401271751    -4.593496980457432
    2.451376897    -4.554612051578152
    2.501482042    -4.508500665180152
    2.551587188    -4.455476795125220
    2.601692334    -4.396944905270288
    2.651797480    -4.335669991793563
    2.701902626    -4.275163592155717
    2.752007772    -4.218745077486457
    2.802112918    -4.169020104378020
    2.852218064    -4.128051761803957
    2.902323210    -4.097742238263598
    2.952428356    -4.079383437563930
    3.002533502    -4.072277646215298
    3.052638648    -4.073093022843119
    3.102743794    -4.076819444871805
    3.152848940    -4.078729488198624

    3.152848940    -4.078729488198624
    3.186776013    -4.076635484479052
    3.220703086    -4.070418521263174
    3.254630159    -4.060258105447929
    3.288557231    -4.046409746251834
    3.322484304    -4.029166027353432
    3.356411377    -4.008854641248297
    3.390338450    -3.985918804725498
    3.424265522    -3.961126570597771
    3.458192595    -3.935942200959659
    3.492119668    -3.912964592051505
    3.526046741    -3.895740090669331
    3.559973813    -3.886699504593175
    3.593900886    -3.884924171811108
    3.627827959    -3.887461505213738
    3.661755032    -3.891712144531199
    3.695682104    -3.896059799255938
    3.729609177    -3.899607466000113
    3.763536250    -3.901882363205364
    3.797463323    -3.902660468743444

    3.797463323    -3.902660468743444
    3.831390395    -3.901956862550168
    3.865317468    -3.901053604821150
    3.899244541    -3.909114962288202
    3.933171614    -3.929056608242996
    3.967098686    -3.946908846710787
    4.001025759    -3.959014737522605
    4.034952832    -3.964708794038134
    4.068879905    -3.966738752191754
    4.102806977    -4.004226246851597
    4.136734050    -4.045377339369008
    4.170661123    -4.087328724612635
    4.204588196    -4.130535902447477
    4.238515268    -4.174358228798591
    4.272442341    -4.217174250444923
    4.306369414    -4.256822282647777
    4.340296487    -4.290964571317884
    4.374223559    -4.317343411995314
    4.408150632    -4.334042699832052
    4.442077705    -4.339764848673022

    4.442077705    -4.339764848673022
    4.490057831    -4.325810162213638
    4.538037958    -4.288766045779097
    4.586018084    -4.240466103396727
    4.633998211    -4.193698149316276
    4.681978337    -4.156963965147763
    4.729958463    -4.132813603274622
    4.777938590    -4.118309756542271
    4.825918716    -4.105977171700892
    4.873898843    -4.086654220706385
    4.921878969    -4.056652149291191
    4.969859096    -4.034085851371977
    5.017839222    -4.045714721969598
    5.065819348    -4.066308180908042
    5.113799475    -4.078947526610698
    5.161779601    -4.083210935649688
    5.209759728    -4.082743580999801
    5.257739854    -4.080838768239377
    5.305719981    -4.079287506768038
    5.353700107    -4.078729488198624


    0.000000000    -3.959465202396116
    0.033927073    -3.959084026979832
    0.067854146    -3.957798737167675
    0.101781218    -3.955576927299163
    0.135708291    -3.952417405534532
    0.169635364    -3.948375674889600
    0.203562437    -3.943550731614941
    0.237489509    -3.938004974418675
    0.271416582    -3.931607593415574
    0.305343655    -3.923842258400150
    0.339270728    -3.913713736298671
    0.373197800    -3.899970634912816
    0.407124873    -3.881752122675159
    0.441051946    -3.859323465813083
    0.474979019    -3.834214480514119
    0.508906091    -3.808591084671984
    0.542833164    -3.784585186308695
    0.576760237    -3.764275879840400
    0.610687310    -3.750146011125795
    0.644614382    -3.744933886702618

    0.644614382    -3.744933886702618
    0.678541455    -3.784824283036768
    0.712468528    -3.875136658148190
    0.746395601    -3.978438374140663
    0.780322673    -4.076251822216897
    0.814249746    -4.159576997557119
    0.848176819    -4.223768162443510
    0.882103892    -4.266179909173234
    0.916030964    -4.268915891525477
    0.949958037    -4.273616732274742
    0.983885110    -4.281121878601469
    1.017812183    -4.274121039636296
    1.051739255    -4.262292677715707
    1.085666328    -4.242876566316243
    1.119593401    -4.199825800260601
    1.153520474    -4.134320297751430
    1.187447546    -4.080543614016295
    1.221374619    -4.053158326107594
    1.255301692    -4.044342357198346
    1.289228765    -4.043513473796544

    1.289228765    -4.043513473796544
    1.337208891    -4.032616014283851
    1.385189017    -4.022730555304338
    1.433169144    -4.067967779599605
    1.481149270    -4.190516871785189
    1.529129397    -4.277459612801026
    1.577109523    -4.286734376940965
    1.625089650    -4.280016856908107
    1.673069776    -4.274118240414047
    1.721049902    -4.265828012267721
    1.769030029    -4.211989770583966
    1.817010155    -4.133344310412029
    1.864990282    -4.079904298810233
    1.912970408    -4.043165738621937
    1.960950534    -4.013484693761747
    2.008930661    -3.989455044141336
    2.056910787    -3.972692056820072
    2.104890914    -3.963596980541000
    2.152871040    -3.960158494163731
    2.200851167    -3.959465202396116

    2.200851167    -3.959465202396116
    2.250956313    -3.957886542898680
    2.301061459    -3.952996026532961
    2.351166605    -3.944477913378824
    2.401271751    -3.932220802692408
    2.451376897    -3.916659412059844
    2.501482042    -3.898808416053402
    2.551587188    -3.879920426043253
    2.601692334    -3.860993667516802
    2.651797480    -3.842383893104557
    2.701902626    -3.823653026971145
    2.752007772    -3.803754850204487
    2.802112918    -3.781580040302565
    2.852218064    -3.756495696469158
    2.902323210    -3.728434235462352
    2.952428356    -3.698248706276287
    3.002533502    -3.668869724287233
    3.052638648    -3.645020696259085
    3.102743794    -3.630323591348845
    3.152848940    -3.625524698970217

    3.152848940    -3.625524698970217
    3.186776013    -3.627119947237812
    3.220703086    -3.631852577083373
    3.254630159    -3.639554758336269
    3.288557231    -3.649926052644830
    3.322484304    -3.662493538030418
    3.356411377    -3.676545984100149
    3.390338450    -3.691037850927553
    3.424265522    -3.704445390410467
    3.458192595    -3.714533052718695
    3.492119668    -3.718128816858081
    3.526046741    -3.745009751602372
    3.559973813    -3.772618628256549
    3.593900886    -3.797042864686468
    3.627827959    -3.818012423349306
    3.661755032    -3.835346335469048
    3.695682104    -3.848928191246625
    3.729609177    -3.858684200962400
    3.763536250    -3.864565196887217
    3.797463323    -3.866537627607781

    3.797463323    -3.866537627607781
    3.831390395    -3.871450690782824
    3.865317468    -3.884892429873011
    3.899244541    -3.894425339274418
    3.933171614    -3.893075659115128
    3.967098686    -3.892144092401067
    4.001025759    -3.898154809153362
    4.034952832    -3.923346857678456
    4.068879905    -3.961475876757659
    4.102806977    -3.964708798215596
    4.136734050    -3.966671670578073
    4.170661123    -3.973502691389966
    4.204588196    -3.985187053707962
    4.238515268    -3.999520757913340
    4.272442341    -4.013293831812576
    4.306369414    -4.023747726316218
    4.340296487    -4.029702609946711
    4.374223559    -4.031796500675663
    4.408150632    -4.031812688693189
    4.442077705    -4.031559584092189

    4.442077705    -4.031559584092189
    4.490057831    -4.025060992757600
    4.538037958    -4.006930467237390
    4.586018084    -3.979392509750572
    4.633998211    -3.943696050097859
    4.681978337    -3.899673694322233
    4.729958463    -3.847206583529637
    4.777938590    -3.788158484158915
    4.825918716    -3.776350997468743
    4.873898843    -3.827973085373498
    4.921878969    -3.877688293731636
    4.969859096    -3.894881563843249
    5.017839222    -3.850745306520247
    5.065819348    -3.778789422302997
    5.113799475    -3.710418701881520
    5.161779601    -3.660178862679750
    5.209759728    -3.632400368047798
    5.257739854    -3.623310835446865
    5.305719981    -3.624023940299494
    5.353700107    -3.625524698970217


    0.000000000    -3.637570061367029
    0.033927073    -3.637702977653809
    0.067854146    -3.638098092395261
    0.101781218    -3.638743073850743
    0.135708291    -3.639618103998600
    0.169635364    -3.640696955414604
    0.203562437    -3.641948328717172
    0.237489509    -3.643337279708564
    0.271416582    -3.644826546817797
    0.305343655    -3.646377614397247
    0.339270728    -3.647951421248858
    0.373197800    -3.649508733263520
    0.407124873    -3.651010314120428
    0.441051946    -3.652417111331808
    0.474979019    -3.653690695501119
    0.508906091    -3.654794135128736
    0.542833164    -3.655693367451557
    0.576760237    -3.656358968907733
    0.610687310    -3.656768081429422
    0.644614382    -3.656906158096179

    0.644614382    -3.656906158096179
    0.678541455    -3.653451437643309
    0.712468528    -3.643493439743327
    0.746395601    -3.628206459380799
    0.780322673    -3.609404107773949
    0.814249746    -3.589341297311320
    0.848176819    -3.570468840898520
    0.882103892    -3.555166464739687
    0.916030964    -3.545480606809203
    0.949958037    -3.542892235249187
    0.983885110    -3.548138803987223
    1.017812183    -3.561112724983243
    1.051739255    -3.580853038044223
    1.085666328    -3.605635288936872
    1.119593401    -3.633149903215538
    1.153520474    -3.660747000892728
    1.187447546    -3.685718540272809
    1.221374619    -3.705586286950890
    1.255301692    -3.718364830507718
    1.289228765    -3.722772036484046

    1.289228765    -3.722772036484046
    1.337208891    -3.714108564344364
    1.385189017    -3.693134493635020
    1.433169144    -3.672431120768757
    1.481149270    -3.665869660167447
    1.529129397    -3.681441467285830
    1.577109523    -3.716578637438615
    1.625089650    -3.758184665875215
    1.673069776    -3.787450507521041
    1.721049902    -3.787524833235992
    1.769030029    -3.750904997563220
    1.817010155    -3.683383466332035
    1.864990282    -3.602687622386571
    1.912970408    -3.532166731611110
    1.960950534    -3.492032724443586
    2.008930661    -3.491656102237708
    2.056910787    -3.525842857532147
    2.104890914    -3.576645935955971
    2.152871040    -3.620440523309910
    2.200851167    -3.637570061367029

    2.200851167    -3.637570061367029
    2.250956313    -3.637880518476914
    2.301061459    -3.638634145040284
    2.351166605    -3.639255768735203
    2.401271751    -3.638738189362868
    2.451376897    -3.635763695881574
    2.501482042    -3.628976244177379
    2.551587188    -3.617227623918354
    2.601692334    -3.599640457038195
    2.651797480    -3.575509981090097
    2.701902626    -3.544203473131073
    2.752007772    -3.505182951544094
    2.802112918    -3.458134887876292
    2.852218064    -3.403093813141833
    2.902323210    -3.356100836136306
    2.952428356    -3.380718487103605
    3.002533502    -3.406504948118482
    3.052638648    -3.433043496061476
    3.102743794    -3.454763282645840
    3.152848940    -3.463363296963890

    3.152848940    -3.463363296963890
    3.186776013    -3.466633368117529
    3.220703086    -3.476586256985077
    3.254630159    -3.493413308783949
    3.288557231    -3.516782862905758
    3.322484304    -3.545556032289749
    3.356411377    -3.578057310035317
    3.390338450    -3.612553883249632
    3.424265522    -3.647550400094789
    3.458192595    -3.681858618811317
    3.492119668    -3.714506039542541
    3.526046741    -3.711092823964582
    3.559973813    -3.691113937595338
    3.593900886    -3.659118156826793
    3.627827959    -3.618264866821124
    3.661755032    -3.571377140028437
    3.695682104    -3.520287861488324
    3.729609177    -3.466217886294786
    3.763536250    -3.410824403946147
    3.797463323    -3.370495936166200

    3.797463323    -3.370495936166200
    3.831390395    -3.440972571650480
    3.865317468    -3.530141731918436
    3.899244541    -3.616289304758712
    3.933171614    -3.695680541983400
    3.967098686    -3.764885980803772
    4.001025759    -3.817463839429168
    4.034952832    -3.841337575862118
    4.068879905    -3.842392258277695
    4.102806977    -3.833798942644307
    4.136734050    -3.818963418800065
    4.170661123    -3.799047491429942
    4.204588196    -3.775736208071676
    4.238515268    -3.750989094929531
    4.272442341    -3.727079214952059
    4.306369414    -3.717741053907373
    4.340296487    -3.722229012473825
    4.374223559    -3.725324931648670
    4.408150632    -3.726959193261430
    4.442077705    -3.727632664003308

    4.442077705    -3.727632664003308
    4.490057831    -3.724146637944103
    4.538037958    -3.713620619661585
    4.586018084    -3.695931562444072
    4.633998211    -3.696726841183075
    4.681978337    -3.705445285471694
    4.729958463    -3.714817279966583
    4.777938590    -3.736369998789102
    4.825918716    -3.725830091761017
    4.873898843    -3.666765669127941
    4.921878969    -3.614513351919147
    4.969859096    -3.571819243731281
    5.017839222    -3.538920127012793
    5.065819348    -3.513278973920244
    5.113799475    -3.491356303122885
    5.161779601    -3.473032169084826
    5.209759728    -3.462300423282080
    5.257739854    -3.460142014738694
    5.305719981    -3.462096475621133
    5.353700107    -3.463363296963890


    0.000000000    -3.327556547683458
    0.033927073    -3.326745126285483
    0.067854146    -3.325889508452483
    0.101781218    -3.322506964004595
    0.135708291    -3.313884354599907
    0.169635364    -3.298353901069343
    0.203562437    -3.275943533951367
    0.237489509    -3.248217460111603
    0.271416582    -3.217469987028008
    0.305343655    -3.185697971512861
    0.339270728    -3.153943194670240
    0.373197800    -3.122642821868526
    0.407124873    -3.094793519880554
    0.441051946    -3.091124766404330
    0.474979019    -3.127749059557257
    0.508906091    -3.176395124722273
    0.542833164    -3.225185546319551
    0.576760237    -3.268141217125491
    0.610687310    -3.298508055186325
    0.644614382    -3.309640337230070

    0.644614382    -3.309640337230070
    0.678541455    -3.272907366514222
    0.712468528    -3.191404157718071
    0.746395601    -3.102022215840087
    0.780322673    -3.023412263588243
    0.814249746    -2.961585655637013
    0.848176819    -2.909380306470072
    0.882103892    -2.869221546191148
    0.916030964    -2.871102515835285
    0.949958037    -2.941463961525479
    0.983885110    -3.039199131362282
    1.017812183    -3.098157077715823
    1.051739255    -3.085791403177928
    1.085666328    -2.988670254079282
    1.119593401    -2.807907584473105
    1.153520474    -2.625424564765582
    1.187447546    -2.522759674589373
    1.221374619    -2.512445944614149
    1.255301692    -2.508404009073447
    1.289228765    -2.506995877677429

    1.289228765    -2.506995877677429
    1.337208891    -2.512635520068556
    1.385189017    -2.538083636431009
    1.433169144    -2.642283965690448
    1.481149270    -2.736693997644746
    1.529129397    -3.049697994536610
    1.577109523    -3.183660582604468
    1.625089650    -3.048972530481756
    1.673069776    -2.789091133317839
    1.721049902    -2.787596620048369
    1.769030029    -2.908093298417231
    1.817010155    -3.059251245309569
    1.864990282    -3.211443549009941
    1.912970408    -3.333210306803896
    1.960950534    -3.402088674078724
    2.008930661    -3.416912609762861
    2.056910787    -3.396319794535318
    2.104890914    -3.364141970976854
    2.152871040    -3.337714335933792
    2.200851167    -3.327556547683458

    2.200851167    -3.327556547683458
    2.250956313    -3.323389838626675
    2.301061459    -3.310916193662428
    2.351166605    -3.290215056422307
    2.401271751    -3.261418000483668
    2.451376897    -3.224710167836940
    2.501482042    -3.180333219645062
    2.551587188    -3.128588598678829
    2.601692334    -3.069841514594833
    2.651797480    -3.102258533939876
    2.701902626    -3.180327458416152
    2.752007772    -3.245405131355134
    2.802112918    -3.294216382028738
    2.852218064    -3.329181431053186
    2.902323210    -3.340476807933159
    2.952428356    -3.271060968555457
    3.002533502    -3.196078685684910
    3.052638648    -3.118608501772087
    3.102743794    -3.131707693925485
    3.152848940    -3.140845959709203

    3.152848940    -3.140845959709203
    3.186776013    -3.169255484766640
    3.220703086    -3.200252391026273
    3.254630159    -3.226635686669289
    3.288557231    -3.247752190794977
    3.322484304    -3.264300097208464
    3.356411377    -3.277642660872856
    3.390338450    -3.289099784738333
    3.424265522    -3.299528988420672
    3.458192595    -3.309236929974836
    3.492119668    -3.318096805149212
    3.526046741    -3.325754981122170
    3.559973813    -3.331845555110072
    3.593900886    -3.336157601910657
    3.627827959    -3.338724038708488
    3.661755032    -3.339824995395612
    3.695682104    -3.339919040968684
    3.729609177    -3.339528944026882
    3.763536250    -3.339105444869810
    3.797463323    -3.338756314444632

    3.797463323    -3.338756314444632
    3.831390395    -3.342420122942759
    3.865317468    -3.352273249564606
    3.899244541    -3.366956856066393
    3.933171614    -3.385961367561506
    3.967098686    -3.409721048807072
    4.001025759    -3.438839287192105
    4.034952832    -3.473328027945711
    4.068879905    -3.512219620963755
    4.102806977    -3.553524099725664
    4.136734050    -3.594432013859547
    4.170661123    -3.631800468038920
    4.204588196    -3.662960932562205
    4.238515268    -3.686468245312295
    4.272442341    -3.701618373893789
    4.306369414    -3.696744077691233
    4.340296487    -3.674986934193378
    4.374223559    -3.654637502936323
    4.408150632    -3.639842738007111
    4.442077705    -3.634342472750307

    4.442077705    -3.634342472750307
    4.490057831    -3.641770721908008
    4.538037958    -3.660275128571516
    4.586018084    -3.681175216544600
    4.633998211    -3.671118233884050
    4.681978337    -3.639929500549670
    4.729958463    -3.603659417040373
    4.777938590    -3.564146187089033
    4.825918716    -3.523269767462246
    4.873898843    -3.482400193072107
    4.921878969    -3.441996936590274
    4.969859096    -3.401610828328852
    5.017839222    -3.360334410827832
    5.065819348    -3.317541572389797
    5.113799475    -3.283384862768482
    5.161779601    -3.274566338683176
    5.209759728    -3.246999462028006
    5.257739854    -3.204314642020377
    5.305719981    -3.161087545145616
    5.353700107    -3.140845959709203


    0.000000000    -2.605634528766420
    0.033927073    -2.607484668088106
    0.067854146    -2.613642220184345
    0.101781218    -2.625482995359050
    0.135708291    -2.644202236821721
    0.169635364    -2.670240179418162
    0.203562437    -2.703344323989594
    0.237489509    -2.742791204176787
    0.271416582    -2.787521827679584
    0.305343655    -2.836210948540565
    0.339270728    -2.887251317134188
    0.373197800    -2.938378784630468
    0.407124873    -2.984082371354897
    0.441051946    -3.001256985847560
    0.474979019    -2.972237010996784
    0.508906091    -2.924779121827020
    0.542833164    -2.870975679986676
    0.576760237    -2.817618245772562
    0.610687310    -2.774747086178317
    0.644614382    -2.758452088626008

    0.644614382    -2.758452088626008
    0.678541455    -2.780349875686791
    0.712468528    -2.825391699247162
    0.746395601    -2.859559958204982
    0.780322673    -2.865580523047698
    0.814249746    -2.838477370699089
    0.848176819    -2.791286115165142
    0.882103892    -2.739686611745870
    0.916030964    -2.694531810847456
    0.949958037    -2.663291038852976
    0.983885110    -2.639293959532403
    1.017812183    -2.616442823451350
    1.051739255    -2.589885086999022
    1.085666328    -2.549974067138468
    1.119593401    -2.534064291194863
    1.153520474    -2.526117267983043
    1.187447546    -2.518606177184808
    1.221374619    -2.477306492866987
    1.255301692    -2.468875968765876
    1.289228765    -2.474261151978971

    1.289228765    -2.474261151978971
    1.337208891    -2.481645649185610
    1.385189017    -2.527881234712341
    1.433169144    -2.548234921452952
    1.481149270    -2.613989002771499
    1.529129397    -2.776627058266414
    1.577109523    -2.762137512179964
    1.625089650    -2.714616425232085
    1.673069776    -2.674286243915023
    1.721049902    -2.553071339947017
    1.769030029    -2.542304447954526
    1.817010155    -2.537414953511883
    1.864990282    -2.562097339240433
    1.912970408    -2.625408672399084
    1.960950534    -2.683196451323929
    2.008930661    -2.713337534724420
    2.056910787    -2.704725123724267
    2.104890914    -2.665970179044635
