# Bands derived from symmetrized Hamiltonian ( wannier90.dn_symmed_hr.dat )
#   k-path len        Energy
    0.000000000    -4.483978258394676
    0.033927073    -4.484810682358411
    0.067854146    -4.486459609715888
    0.101781218    -4.486456671208966
    0.135708291    -4.481013048585872
    0.169635364    -4.465727646175793
    0.203562437    -4.436859627250641
    0.237489509    -4.392964679917174
    0.271416582    -4.336141537541266
    0.305343655    -4.272012791999958
    0.339270728    -4.208231787436198
    0.373197800    -4.152098772488370
    0.407124873    -4.108024309551920
    0.441051946    -4.075521782747470
    0.474979019    -4.048847620947480
    0.508906091    -4.019504995348146
    0.542833164    -3.981006141609889
    0.576760237    -3.932665347511070
    0.610687310    -3.879417253983393
    0.644614382    -3.828218021277798

    0.644614382    -3.828218021277798
    0.678541455    -3.876052308500672
    0.712468528    -3.961763595331528
    0.746395601    -4.060089612044759
    0.780322673    -4.145174934332560
    0.814249746    -4.198194771426326
    0.848176819    -4.211631770946205
    0.882103892    -4.190698157180457
    0.916030964    -4.157649257273230
    0.949958037    -4.132590637453394
    0.983885110    -4.112264347539102
    1.017812183    -4.104563972522505
    1.051739255    -4.105675350209419
    1.085666328    -4.101813689098996
    1.119593401    -4.082489715049818
    1.153520474    -4.055382771197378
    1.187447546    -4.039035819402770
    1.221374619    -4.040137929437364
    1.255301692    -4.045347392840853
    1.289228765    -4.048022992839438

    1.289228765    -4.048022992839438
    1.337208891    -4.058757487546409
    1.385189017    -4.084458704479590
    1.433169144    -4.110168740579766
    1.481149270    -4.147237460321310
    1.529129397    -4.231024337150534
    1.577109523    -4.275594578607596
    1.625089650    -4.214691764810241
    1.673069776    -4.092035020824931
    1.721049902    -4.117740716330633
    1.769030029    -4.289569813419460
    1.817010155    -4.445547848361855
    1.864990282    -4.533188881089291
    1.912970408    -4.563378804961065
    1.960950534    -4.561305575295103
    2.008930661    -4.542195306487347
    2.056910787    -4.516533627392079
    2.104890914    -4.495919038594455
    2.152871040    -4.486151830133390
    2.200851167    -4.483978258394676

    2.200851167    -4.483978258394676
    2.250956313    -4.481096959016303
    2.301061459    -4.471706993117272
    2.351166605    -4.454026683884995
    2.401271751    -4.426365402323663
    2.451376897    -4.388304725674637
    2.501482042    -4.341306765737034
    2.551587188    -4.288475724208610
    2.601692334    -4.233555283935536
    2.651797480    -4.179479778333442
    2.701902626    -4.127073446234919
    2.752007772    -4.074638049963038
    2.802112918    -4.018907557679987
    2.852218064    -3.957217750063783
    2.902323210    -3.889748064249828
    2.952428356    -3.819945912465666
    3.002533502    -3.752505381886564
    3.052638648    -3.690836831544496
    3.102743794    -3.636336239388082
    3.152848940    -3.589968516426674

    3.152848940    -3.589968516426674
    3.186776013    -3.588018377613037
    3.220703086    -3.582743306663370
    3.254630159    -3.575723173819770
    3.288557231    -3.569136139041341
    3.322484304    -3.565179921750145
    3.356411377    -3.565468538824200
    3.390338450    -3.570643770306376
    3.424265522    -3.580417988497627
    3.458192595    -3.593952274966872
    3.492119668    -3.610217908428625
    3.526046741    -3.628160655915584
    3.559973813    -3.646749455250069
    3.593900886    -3.665014638266183
    3.627827959    -3.682087518441761
    3.661755032    -3.697215878371868
    3.695682104    -3.709754829571713
    3.729609177    -3.719158125885929
    3.763536250    -3.724991829763856
    3.797463323    -3.726969936306444

    3.797463323    -3.726969936306444
    3.831390395    -3.732868109679639
    3.865317468    -3.749092902221863
    3.899244541    -3.772096491560899
    3.933171614    -3.797988868686448
